,설치기관명,설치기관주소,구별설치기관주소,월요일,화요일,수요일,목요일,금요일,토요일,일요일,공휴일
654,용마지구대 (사무실 내 1층 순찰팀장 좌석 뒤),"서울특별시 중랑구 동일로 566, 중랑경찰서용마지구대 (면목동)",중랑구 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
655,우신초등학교 (학교 강당),"서울특별시 영등포구 신길로 190, 서울우신초등학교 (신길동)",영등포구,08:00~17:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,,,
656,우이신설도시철도북한산보국문역 (대합실 상선 엘리베이터 앞),"서울특별시 성북구 보국문로 지하 88, 북한산보국문역 (정릉동)",성북구 ,05:00~23:59,05:00~23:59,05:00~23:59,05:00~23:59,05:00~23:59,05:00~23:59,05:00~24:00,05:00~23:59
657,우이신설도시철도성신여대입구역 (상선 E/S 앞),서울특별시 성북구 동소문로 지하 102 (동선동4가),성북구 ,05:00~23:59,05:00~23:59,05:00~23:59,05:00~23:59,05:00~23:59,05:00~23:59,05:00~23:59,05:00~23:59
658,우이신설선 보문역 (상선 E/S 앞),서울특별시 성북구 보문로 지하 116 (보문동1가),성북구 ,05:00~23:59,05:00~23:59,05:00~23:59,05:00~23:59,05:00~23:59,05:00~23:59,05:00~23:59,05:00~23:59
659,우이신설선 정릉역 (역무원 부스 옆),"서울특별시 성북구 아리랑로 지하 122, 정릉역 (정릉동)",성북구 ,05:00~23:59,05:00~23:59,05:00~23:59,05:00~23:59,05:00~23:59,05:00~23:59,05:00~24:00,05:00~23:59
660,우장산힐스테이트아파트 (단지내 후문 경비초소),"서울특별시 강서구 강서로 348  (내발산동, 우장산힐스테이트)",강서구 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
661,워커힐아파트 (워커힐아파트 정문초소),서울특별시 광진구 아차산로 637 워커힐 아파트,광진구 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
662,월계센트럴아이파크아파트 (관리동 지하1층),"서울특별시 노원구 초안산로2라길 26 (월계동, 월계센트럴아이파크아파트)",노원구 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
663,월계청춘카페 (주출입구),"서울특별시 노원구 광운로 44, 준빌딩 (월계동)",노원구 ,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,00:00~24:00,00:00~24:00,00:00~24:00
664,월곡배드민턴체육관 (1층 로비),서울특별시 성북구 화랑로13길 144  (하월곡동),성북구 ,06:00~22:00,06:00~22:00,06:00~22:00,06:00~22:00,06:00~22:00,06:00~19:30,234506:00~17:30,06:00~17:30
665,월천초등학교 (보건실 앞),서울특별시 도봉구 노해로70길 96 ,도봉구 ,08:40~16:40,08:40~16:40,08:40~16:40,08:40~16:40,08:40~16:40,,,
666,위례솔중학교 (1층 중앙형관),"서울특별시 송파구 위례북로2길 10, 위례솔중학교 (거여동)",송파구 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
