역이름,호선,가까운 AED,AED 위도,AED 경도,역으로부터 거리(m)
홍제역,03호선,인왕시장배송센터 (배송센터 사무실 내),37.5910889868799,126.94348564908,262.60878317991825
홍제역,03호선,느티나무경로당 (1층 할머니방),37.5878196206132,126.947326584851,299.24319198017275
옥수역,03호선,3호선옥수역 (가나 게이트 앞(안내부스 앞)),37.5409877747326,127.018965435917,153.19659960324188
옥수역,03호선,옥정초등학교 (1층 보건실 앞),37.5423097389598,127.015785478614,163.92328994348898
옥수역,03호선,옥수삼성아파트 (108동 앞 1층 상황실),37.5426294442931,127.015554372439,200.6769011271818
옥수역,03호선,옥수현대아파트 (관리사무소),37.5433496006445,127.019302444208,262.07362747571665
압구정역,03호선,3호선 압구정역 (역 내),37.5264308236177,127.028480919224,6.037950767080494
압구정역,03호선,소망교회 (본당 1층 로비),37.5256429747733,127.031712469413,299.53569564025804
삼성역,02호선,2호선 삼성역 (역무실 앞),37.5088619974404,127.063073009788,7.21730568636601
삼성역,02호선,글래드강남코엑스센터 (1층 로비),37.5088229113126,127.064541844422,134.15929103887993
삼성역,02호선,그랜드인터컨티넨탈서울 (1층로비),37.5091916919873,127.06080691987,199.8039704500172
삼성역,02호선,코엑스 (트레이드타워 1층),37.510356849269,127.061023782931,246.0558815706911
신답역,02호선,2호선 신답역 (신답역 역사 내부),37.5699910562183,127.046820203556,27.78679657451917
신답역,02호선,힐스테이트청계아파트 (커뮤니티센터 앞),37.5715355323262,127.04615896391,205.30379664576043
신답역,02호선,청계한신휴플러스아파트 (아파트 경비초소 (정문)),37.5720742467292,127.047273509268,249.65098042228828
신답역,02호선,청계한신휴플러스아파트 (관리사무소 1층 통합경비실),37.5720742467292,127.047273509268,249.65098042228828
신답역,02호선,동대문구육아종합지원센터답십리점 (센터3층 엘레베이터 앞),37.5720456892425,127.047933777839,257.41734197604467
신사역,03호선,3호선 신사역 (지하1층 고객안전실 옆),37.5164324582415,127.020326886309,3.0148923222619226
신사역,03호선,주식회사케이씨씨글라스 (7층 E/V앞),37.5141358507954,127.019488676865,264.9297028887812
신사역,03호선,주식회사케이씨씨글라스 (9층 E/V앞),37.5141358507954,127.019488676865,264.9297028887812
선릉역,02호선,2호선 선릉역 (가 게이트 옆),37.5045028775835,127.048942471228,1.1281627368959202
선릉역,02호선,진선여자중학교 (보건실 앞),37.5023028920315,127.048286565491,250.5076706033044
신정네거리역,02호선,2호선 신정네거리역 (역사),37.5197975266787,126.852991645059,47.625616925084806
신정네거리역,02호선,래미안목동아델리체 (110동 관리사무소 1층),37.5204176021651,126.851340568488,137.25975891937622
신정네거리역,02호선,래미안목동아델리체 (정문 경비실),37.5204176021651,126.851340568488,137.25975891937622
신정네거리역,02호선,신정1동주민센터 (1층 민원실),37.5185718753061,126.854286078199,221.0969836219855
신정네거리역,02호선,신목동노인복지센터 (프로그램실),37.5225662999628,126.852048644467,271.3476805729257
신정네거리역,02호선,목동힐스테이트아파트 (관리사무소 입구 지하 1층(103동 104동 사이)),37.5207753299155,126.855945462003,277.75903926918863
신정네거리역,02호선,목동힐스테이트아파트 (동문경비실 지상1층(114동 앞)),37.5207753299155,126.855945462003,277.75903926918863
구파발역,03호선,구파발역 (고객 서비스 센터 앞),37.6368417889316,126.918745426412,47.801281362994885
구파발역,03호선,가톨릭서울현데이케어센터(구파발동) (구파발성당 1층),37.6362101659864,126.919883716473,95.21129995287122
구파발역,03호선,은평우체국 (1층 영업과 공중실 안내데스크),37.6354505869129,126.920611543208,189.85740069138262
구파발역,03호선,은평뉴타운박석고개1단지 (관리실 안 입구),37.6342707354029,126.919398866427,243.85200678698635
구파발역,03호선,진관동주민센터 (1층 민원실),37.6350173188442,126.92103776265,248.76181982792693
연신내역,03호선,3호선 연신내역 (고객안전실 옆),37.618962003178,126.921162124977,26.272484766935776
연신내역,03호선,"6호선 연신내역 (나 게이트 우측, 정산기 왼편)",37.618962003178,126.921162124977,26.272484766935776
연신내역,03호선,불광노인복지관 (2층 회의실 옆),37.6190460660415,126.924469170603,297.5247650340856
무악재역,03호선,"3호선무악재역 (지하철 역사내, 고객안전실 우측 벽면)",37.5823841472467,126.950322097494,20.73010565498037
무악재역,03호선,인왕어르신복지센터 (지하1층 엘리베이터 옆),37.5827951460758,126.950669846485,46.93325051300849
무악재역,03호선,서부수도사업소 (1층 상황실),37.5830223462745,126.952350714055,193.85459980763392
무악재역,03호선,서부수도사업소 (5층 강당),37.5830223462745,126.952350714055,193.85459980763392
무악재역,03호선,무악청구1차아파트 (정문 경비실 안 정면벽),37.5812594760103,126.952833216748,270.8660370409679
무악재역,03호선,홍제한양아파트 (관리사무소 입구),37.5832766820987,126.947232533735,276.10264442131626
무악재역,03호선,홍제한양아파트 (관리사무소 내),37.5832766820987,126.947232533735,276.10264442131626
독립문역,03호선,"3호선 독립문역 (지하철역사내, 나게이트 앞외부 엘리베이터 앞)",37.5744103589329,126.957750279047,15.586347906486159
독립문역,03호선,무악현대임대아파트 (관리소),37.575096680698,126.95912689358,127.90382185161103
독립문역,03호선,종로노인종합복지관무악센터 (2층 승강기 우측),37.575816548027,126.958022080228,150.25965053745614
독립문역,03호선,무악동주민센터 (입구),37.5760002195294,126.958159633734,171.76464308771463
독립문역,03호선,서울독립문초등학교 (1층 현관),37.5742155272779,126.959972199819,183.77070059345866
독립문역,03호선,무악공원 (무악공원 관리사무소),37.5762907540307,126.960137953022,282.09449448764303
경복궁역,03호선,3호선 경복궁역 (역무실 앞),37.5758613027702,126.973062710191,54.022645256892154
경복궁역,03호선,국립고궁박물관 (박물관 2층 접수대 옆),37.5765916191985,126.974974825074,145.71107016343242
경복궁역,03호선,통일부 (7층(705호)벽면),37.5749078897065,126.975207341063,167.2293548666585
경복궁역,03호선,통일부 (6층(605호) 벽면),37.5749078897065,126.975207341063,167.2293548666585
경복궁역,03호선,서울청사관리소 (정부서울청사 본관 로비 독도 스크린 옆),37.5749078897065,126.975207341063,167.2293548666585
경복궁역,03호선,서울청사관리소 (2층 의무실(210호) 앞),37.5749078897065,126.975207341063,167.2293548666585
경복궁역,03호선,개인정보보호위원회 (정부서울청사 본관 12층 1205호 앞 복도),37.5749078897065,126.975207341063,167.2293548666585
경복궁역,03호선,외교부 (18층 리셉션홀 앞),37.5736099837789,126.975098079733,272.9955961740748
경복궁역,03호선,외교부 (외교부5층 동쪽 복도),37.5736099837789,126.975098079733,272.9955961740748
경복궁역,03호선,외교부 (외교부 13층 당직실(1312호)),37.5736099837789,126.975098079733,272.9955961740748
